StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,MDEES_1,MDEES_2,MDEES_3,MDEES_4,MDEES_5,MDEES_6,MDEES_7,MDEES_8,MDEES_9,MDEES_10,MDEES_11,MDEES_12,MDEES_13,MDEES_14,MDEES_15,MDEES_16,MDEES_17,MDEES_18,MDEES_19,MDEES_20,MDEES_21,MDEES_22,MDEES_23,MDEES_24,MDEES_25,MDEES_26,MDEES_27,MDEES_28,MDEES_29,MDEES_30,Tr_A_1,Tr_A_2,Time_First Click,Time_Last Click,Time_Page Submit,Time_Click Count,Te_A_1,ISO_1,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9,MSE_10,MSE_11,MSE_12,Q3_a,PROLIFIC_PID
11/12/2023 11:25,11/12/2023 11:38,IP Address,91.220.205.173,95,806,FALSE,,FS_1KdlBk8BE7c7BYx,,,,,,,anonymous,EN-GB,Male,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Slightly Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Neutral,Yes,Yes,0,0,251.626,0,"Library,Train",Some overlap,2,3,3,4,3,4,5,4,3,3,2,3,b,5c7a926b2ceba0001668b707
11/12/2023 11:25,11/12/2023 11:42,IP Address,197.101.34.198,95,1000,FALSE,,FS_31MDt4Z2971fVBU,,,,,,,anonymous,EN-GB,Male,Neutral,Slightly Agree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,0,0,276.253,0,"Library,Train",Little overlap,3,2,2,3,4,4,4,5,5,4,5,4,b,615ac7798523e99c564cd526
11/12/2023 11:25,11/12/2023 11:42,IP Address,168.182.216.4,95,1047,FALSE,,FS_2P7lp3WkZ8atHxl,,,,,,,anonymous,EN-GB,Female,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,0,0,264.015,0,"Library,Train",Very strong overlap,Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),3,b,6047c853ca7cb206a40f555b
11/12/2023 11:25,11/12/2023 11:37,IP Address,81.56.160.209,95,700,FALSE,,FS_2X4MP4L2fsWvaq9,,,,,,,anonymous,EN-GB,Female,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neutral,Strongly Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Slightly Agree,Slightly Agree,Neutral,Yes,Yes,187.017,197.265,415.678,3,"Library,Train",Some overlap,4,4,Not at all (0),1,Entirely (6),Entirely (6),Entirely (6),3,5,3,1,1,b,6523f9a02de98aac6724f37c
11/12/2023 11:25,11/12/2023 11:39,IP Address,89.153.170.136,95,867,FALSE,,FS_2DNV87uliFouTva,,,,,,,anonymous,EN-GB,Male,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Neutral,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Yes,Yes,0,0,285.119,0,"Library,Train",Very strong overlap,4,Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),b,61097d076666be0f63facbad
11/12/2023 11:25,11/12/2023 11:40,IP Address,161.230.122.90,95,872,FALSE,,FS_1LeB1IkNj52yiOn,,,,,,,anonymous,EN-GB,Male,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,22.58,232.446,441.64,6,"Library,Train",No overlap,Not at all (0),Not at all (0),Not at all (0),Not at all (0),Entirely (6),Entirely (6),Entirely (6),3,3,3,3,3,b,5f91f33e60328e0efb72a667
11/12/2023 11:25,11/12/2023 11:44,IP Address,195.46.28.237,95,1122,FALSE,,FS_2t9FUmDYSfQ5Q41,,,,,,,anonymous,EN-GB,Female,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,6.93,244.485,248.151,8,"Library,Train",Some overlap,4,4,3,1,Entirely (6),Entirely (6),5,Entirely (6),Entirely (6),4,Entirely (6),3,b,5c9124ef3b7f9e0013728485
11/12/2023 11:25,11/12/2023 11:35,IP Address,178.84.226.8,95,577,FALSE,,FS_Twmmavr5R1sQ9nb,,,,,,,anonymous,EN-GB,Male,Strongly Disagree,Neutral,Neutral,Slightly Disagree,Slightly Agree,Neutral,Neutral,Strongly Agree,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Strongly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Strongly Disagree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Yes,Yes,67.152,241.593,241.974,17,"Library,Train",Little overlap,3,3,3,3,3,3,3,3,3,3,3,3,b,6543751c942e457a7bb340b5
11/12/2023 11:25,11/12/2023 11:35,IP Address,87.205.92.24,95,604,FALSE,,FS_3hcms2e39CgDsOW,,,,,,,anonymous,EN-GB,Female,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neutral,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,9.312,263.971,265.103,4,"Library,Train",Strong overlap,5,5,4,Entirely (6),Entirely (6),5,Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),4,b,5f08414491d33d0123166d1b
11/12/2023 11:25,11/12/2023 11:35,IP Address,78.102.89.214,95,596,FALSE,,FS_3kEUMiCEOCTOAwi,,,,,,,anonymous,EN-GB,Female,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,6.422,269.918,271.013,3,"Library,Train",Equal overlap,3,2,2,2,4,4,4,3,1,3,3,3,b,60678852ccd0cac430e96c2e
